书目ID,题名,责任者,ISBN,价格（元）,出版社,出版年,分类号,索书号,复本数
62270,谋杀似水年华,蔡骏[著],978-7-5063-8151-2,CNY42.00,作家出版社,2016,I247.56,,
62269,小别离,鲁引弓著,978-7-5063-9014-9,CNY32.00,作家出版社,2016,I247.57,,
62268,空岛,余秋雨著,978-7-5063-7892-5,CNY36.00,作家出版社,2015,I247.57,,
62267,秋天的愤怒,,978-7-5063-7611-2,CNY35.00,作家出版社,2014,I247.57,,
62266,汉月天骄,十一鸾著,978-7-5063-9012-5,CNY48.00,作家出版社,2016,I247.53,,
62265,倾城,姜燕鸣著,978-7-5063-7893-2,CNY32.00,作家出版社,2015,I247.51,,
62264,连环劫,杨佑田著,978-7-5063-7396-8,CNY29.00,作家出版社,2014,I247.7,,
62263,读字识中国,谢飞东， 聂晖著,978-7-5063-8848-1,CNY29.00,作家出版社,2016,H12-49,,
62262,老农民,高满堂， 李洲著,978-7-5063-7670-9,CNY38.00,作家出版社,2015,I247.57,,
62261,切骨,阿拉里克·杭特著,978-7-5063-9251-8,CNY32.00,作家出版社,2016,I712.45,,
62260,公子桃花,柳岸著,978-7-5063-9001-9,CNY39.00,作家出版社,2016,I247.57,,
62259,百合心,庹政著,978-7-5063-9175-7,CNY36.00,作家出版社,2017,I247.57,,
62258,美卿,叶梅著,978-7-5063-8749-1,CNY38.00,作家出版社,2016,K825.38=76,,
62257,中国创造,赵晏彪著,978-7-5063-8637-1,CNY39.00,作家出版社,2015,I247.57,,
62256,百年密意,杨志鹏著,978-7-5063-9227-3,CNY45.00,作家出版社,2017,I247.57,,
62255,一片暴雨中下坠的羽毛,普玄著,978-7-5063-8847-4,CNY36.00,作家出版社,2017,I247.7,,
62254,铁网铜钩,吴仕民著,978-7-5063-8913-6,CNY35.00,作家出版社,2016,I247.53,,
62253,小收煞,马步升著,978-7-5063-8884-9,CNY33.00,作家出版社,2016,I247.57,,
62252,黄土,骆寒超， 黄纪云主编,978-7-02-010624-0,CNY39.00,人民文学出版社,2014,I227.1,,
62251,蒋子龙文集,蒋子龙著,978-7-02-009854-5,CNY38.00,人民文学出版社,2013,I217.62,,
62250,留日小记,四月芳菲著,978-7-5063-8835-1,CNY33.00,作家出版社,2016,I267.1,,
62249,好兵帅克历险记,(捷克) 哈谢克著,978-7-02-007139-5,CNY33.00,人民文学出版社,1983,I524.45,,
62248,寻金者,(法) 勒克莱齐奥著,978-7-02-008892-8,CNY29.00,人民文学出版社,2012,I565.45,,
62247,红房子酒店,叶兆言,978-7-02-009198-0,CNY33.00,人民文学出版社,2012,I247.57,,
62246,王蒙散文,,978-7-02-011483-2,CNY32.00,人民文学出版社,2008,I267,,
62245,陆文夫散文,,978-7-02-011017-9,CNY32.00,人民文学出版社,2007,I267,,
62244,洪堡的礼物,(美) 索尔·贝娄著,978-7-02-011074-2,CNY45.00,人民文学出版社,2016,I712.45,,
62243,魔符,(美) 斯蒂芬?金， 彼得?斯陶伯,978-7-02-009449-3,CNY49.00,人民文学出版社,2013,I712.45,,
62242,呐喊·彷徨·故事新编,鲁迅著,978-7-02-009752-4,CNY39.00,人民文学出版社,2013,I210.6,,
62241,巴山夜雨,张恨水著,978-7-02-011913-4,CNY78.00,人民文学出版社,2017,I246.57,,
62240,镜花缘,(清) 李汝珍著,978-7-02-008847-8,CNY45.00,人民文学出版社,1955,I242.47,,
62239,罪与罚,(俄) 陀思妥耶夫斯基,978-7-02-011582-2,CNY42.00,人民文学出版社,1982,I512.44,,
62238,南方,艾伟著,978-7-02-010609-7,CNY33.00,人民文学出版社,2014,I247.57,,
62237,农民帝国,蒋子龙著,978-7-02-009401-1,CNY43.00,人民文学出版社,2008,I247.57,,
62236,空山,阿来著,978-7-02-009354-0,CNY60.00 (2册),人民文学出版社,2004,I247.57,,
62235,醒世恒言,冯梦龙编,978-7-02-005161-8,CNY42.00 (2册),人民文学出版社,1956,I242.3,,
62234,卡拉马佐夫兄弟,(俄) 陀思妥耶夫斯基著,978-7-02-007158-6,CNY44.00 (2册),人民文学出版社,1981,I512.44,,
62233,静静的顿河,(苏) 米·肖洛霍夫著,978-7-02-007143-2,CNY86.00 (4册),人民文学出版社,2008,I512.45,,
62232,明代文学思潮史,廖可斌著,978-7-02-011277-7,CNY56.00,人民文学出版社,2016,I209.48,,
62231,从消逝的村庄走来,黄开发著,978-7-02-012005-5,CNY25.00,人民文学出版社,2016,I267,,
62230,长颈龙的完美一天,(日) 乾绿郎著,978-7-02-009709-8,CNY25.00,人民文学出版社,2013,I313.45,,
62229,我想要的只是你,(日) 小手鞠琉衣著,978-7-02-009625-1,CNY22.00,人民文学出版社,2013,I313.45,,
62228,铁凝散文,,978-7-02-011160-2,CNY36.00,人民文学出版社,2009,I267,,
62227,M代表魔法,(英) 尼尔·盖曼著,978-7-02-009966-5,CNY22.00,人民文学出版社,2013,I561.45,,
62226,人性的枷锁,(英) 萨默赛特·毛姆著,978-7-02-011283-8,CNY88.00 (2册),人民文学出版社,2016,I561.45,,
62225,绿衣亨利,(瑞士) 戈特弗里德·凯勒著,978-7-02-010032-3,CNY68.00 (2册),人民文学出版社,1983,I522.44,,
62224,人在港途,崇培著,978-7-201-09816-6,CNY36.80,天津人民出版社,2015,K928.965.8,,
62223,丁香花开的日子,江岸著,978-7-5510-0058-1,CNY23.80,文心出版社,2013,I247.82,,
62222,生于喧嚣年代,蜀山野驴著,978-7-5059-9937-4,CNY32.00,中国文联出版社,2015,I247.57,,
62221,骑着毛驴去拉萨,侯发山著,978-7-5510-0048-2,CNY23.80,文心出版社,2013,I247.82,,
62220,生于喧嚣年代,蜀山野驴著,978-7-5059-9936-7,CNY32.00,中国文联出版社,2015,I247.57,,
62219,千年桃花如梦,徐长顺著,978-7-5510-0130-4,CNY23.80,文心出版社,2013,I267,,
62218,打开心灵让风吹,乐祥涛著,978-7-5510-0120-5,CNY23.80,文心出版社,2012,I267,,
62217,诚实如夏花灿烂,杨雪平著,978-7-5510-0123-6,CNY23.80,文心出版社,2012,I267,,
62216,你就是一朵百合花,厉剑童著,978-7-5510-0064-2,CNY23.80,文心出版社,2013,I247.82,,
62215,追问世界的形状,石岩著,978-7-5063-8796-5,CNY45.00,作家出版社,2016,I253,,
62214,回不去的故乡,邱海泉著,978-7-5510-0122-9,CNY23.80,文心出版社,2013,I267,,
62213,生于喧嚣年代,蜀山野驴著,978-7-5059-9938-1,CNY32.00,中国文联出版社,2015,I247.57,,
62212,我们错在一直把快乐交给别人保管,孙郡锴编著,978-7-5113-6029-8,CNY32.00,中国华侨出版社,2016,B842.6-49,,
62211,我不想当典型,黄荣才著,978-7-5510-0057-4,CNY23.80,文心出版社,2013,I247.82,,
62210,让全世界都知道你很低调,马洛编著,978-7-5164-0914-5,CNY35.00,企业管理出版社,2014,C912.11,,
62209,成就你一生的能力,沛霖·泓露著,978-7-5044-9297-5,CNY36.80,中国商业出版社,2016,B848.4,,
62208,管理就是管欲望， 带团队就是带信心,刘川编著,978-7-201-10535-2,CNY36.80,天津人民出版社,2016,F272.90,,
62207,像花蕾一样的等待,杨慧著,978-7-5510-0128-1,CNY23.80,文心出版社,2013,I267,,
62206,拈花微笑,赵德发著,978-7-5510-0119-9,CNY23.80,文心出版社,2013,I267,,
62205,水红色旗袍,赵明宇,978-7-5500-1029-1,CNY20.00,百花洲文艺出版社,2015,I247.82,,
62204,在城市里逃亡,金波,978-7-5500-1046-8,CNY20.00,百花洲文艺出版社,2015,I247.82,,
62203,南来北往的客,肖晨著,978-7-5510-0056-7,CNY23.80,文心出版社,2013,I247.82,,
62202,爱的颜色,周海亮著,978-7-5510-0061-1,CNY23.80,文心出版社,2013,I247.82,,
62201,阳光下的味道,周伟著,978-7-5510-0116-8,CNY23.80,文心出版社,2013,I267,,
62200,尚书有味,陈武著,978-7-5511-2760-8,CNY28.80,花山文艺出版社,2016,I267.1,,
62199,赢在那一会儿的坚持,陈晓辉， 一路开花主编,978-7-5020-5439-7,CNY28.00,煤炭工业出版社,2016,I267,,
62198,黑夜的眼睛,陈之秀著,978-7-5190-0255-8,CNY32.80,中国文联出版社,2015,I247.57,,
62197,自我治愈心理学,罗金著,978-7-5047-6269-6,CNY38.00,中国财富出版社,2017,B842.6,,
62196,行动制胜,浩晨·天宇编著,978-7-5171-2210-4,CNY39.80,中国言实出版社,2017,B848.4-49,,
62195,杜鲁门传,胡高昂编著,978-7-5463-5792-8,CNY43.80,吉林出版集团有限责任公司,2011,K837.127=534,,
62194,劳动合同法,本书编写组编,978-7-5008-6331-1,CNY15.00,中国工人出版社,2016,D922.524,,
62193,瞬间崛起的世界之王,锦城著,978-7-80232-822-8,CNY29.50,时事出版社,2015,K835.457=2,,
62192,司法委托拍卖法律机制研究,龙翼飞， 汤维建， 霍玉芬等著,978-7-5620-6294-3,CNY22.00,中国政法大学出版社,2015,D922.294.4,,
62191,云很白,伍中正著,978-7-5500-0786-4,CNY20.00,百花洲文艺出版社,2014,I247.82,,
62190,天堂里没有独来独往,张爱国,978-7-5500-0799-4,CNY20.00,百花洲文艺出版社,2014,I247.82,,
62189,悠然读书， 洒脱为文,续小强著,978-7-5068-5464-1,CNY36.00,中国书籍出版社,2016,G237.5-53,,
62188,王蒙自述,,978-7-02-008781-5,CNY38.00,人民文学出版社,2003,I267.1,,
62187,责任， 比黄金更重要,子建著,978-7-5113-4846-3,CNY32.00,中国华侨出版社,2014,B822.9-49,,
62186,你的脚步走在你的心上,温瑶作品,978-7-5502-4313-2,CNY49.80,北京联合出版公司,2015,I267.1,,
62185,你赢， 我陪你君临天下 你输， 我陪你东山再起,韦甜甜著,978-7-5047-6279-5,CNY38.00,中国财富出版社,2017,B842.6,,
62184,轻轻画掉了的名字,李国新著,978-7-5510-0059-8,CNY23.80,文心出版社,2013,I247.82,,
62183,洞穴之光,刘李胜著,978-7-5060-8842-8,CNY45.00,东方出版社,2015,I227.1,,
62182,兵团梦引,陆幸生,978-7-5068-5911-0,CNY56.00,中国书籍出版社,2017,I247.57,,
62181,我所认识的蒋介石,冯玉祥,978-7-5153-1263-7,CNY36.00,中国青年出版社,2015,K825.2=6,,
62180,国学中的经营之道,宋志明著,978-7-5153-4096-8,CNY38.00,中国青年出版社,2016,F279.2,,
62179,愿在漂泊的岁月里战无不胜,沈念著,978-7-5496-1737-1,CNY32.00,文汇出版社,2016,I267.1,,
62178,“石榴姐”遇上“恐龙哥”,醉久远著,978-7-5113-4835-7,CNY29.80,中国华侨出版社,2014,I247.57,,
62177,绕颈之物,(尼日利亚) 奇玛曼达·恩戈兹·阿迪契著,978-7-5321-5013-7,CNY26.00,上海文艺出版社,2013,I437.45,,
62176,流动的房间,薛忆沩著,978-7-5321-4689-5,CNY25.00,上海文艺出版社,2013,I247.7,,
62175,奴儿,阎连科,978-7-5321-5056-4,CNY30.00,上海文艺出版社,2013,I247.7,,
62174,你若寻她 她在岁月最浓处,赵东凌著,978-7-5183-0810-1,CNY34.00,石油工业出版社,2016,K828.5=6,,
62173,你所走过的路都是奇迹,陈保才著,978-7-5168-1130-6,CNY32.80,台海出版社,2016,B848.4-49,,
62172,老味道,汪曾祺著,978-7-5153-1302-3,CNY32.00,中国青年出版社,2013,I267.1,,
62171,爱伦·坡短篇小说全集,(美) 爱伦·坡著,978-7-5154-0510-0,CNY29.60,当代中国出版社,2014,I712.44,,
62170,青春值得去冒险,求真选编,978-7-5139-0431-5,CNY25.00,民主与建设出版社,2015,I14,,
62169,生命只在今天,求真选编,978-7-5139-0442-1,CNY25.00,民主与建设出版社,2015,B848.4-49,,
62168,故乡,,978-7-5153-0674-2,CNY23.00,中国青年出版社,2012,I210.4,,
62167,爱伦·坡短篇小说全集,(美) 爱伦·坡著,978-7-5154-0508-7,CNY29.60,当代中国出版社,2014,I712.44,,
62166,享受不再纠结的人生,陈廷编著,978-7-5113-1726-1,CNY29.80,中国华侨出版社,2013,B821-49,,
62165,我们误判了中国,谷棣， 谢戎彬主编,978-7-5075-4283-7,CNY32.00,华文出版社,2015,F12,,
62164,枫树上的故事,冷启方著,978-7-5510-0131-1,CNY23.80,文心出版社,2013,I267,,
62163,完美胎教一本通,菅波编著,978-7-5337-5999-5,CNY32.00 (含光盘),安徽科学技术出版社,2013,G610.8,,
62162,香格里拉的灵魂,天涯蓝药师著,978-7-80766-862-6,CNY32.00,广东旅游出版社,2015,I247.57,,
62161,资深HR手把手教你做薪酬管理,郑芳著,978-7-5576-2370-8,CNY55.00,天津科学技术出版社,2017,F272.923,,
62160,生命是跳跃的动词,(美) 帕蒂·戴著,978-7-5675-1893-3,CNY29.00,华东师范大学出版社,2014,B821-49,,
62159,3分钟打动人心的销售心理学,刘川编著,978-7-201-10539-0,CNY36.80,天津人民出版社,2016,F713.55,,
62158,纯臣王杰,许葆云著,978-7-224-11692-2,CNY29.00,陕西人民出版社,2016,K827=49,,
62157,孔子传,李木生著,978-7-221-13087-7,CNY39.80,贵州人民出版社,2016,B222.25,,
62156,恋物癖,兰小界著,978-7-221-13125-6,CNY30.00,贵州人民出版社,2016,B842.6,,
62155,我们彼此还不太懂,(日) 岛津训一著,978-7-224-11754-7,CNY38.00,陕西人民出版社,2016,I313.65,,
62154,银川河民俗文化,王文明著,978-7-5194-1022-3,CNY39.00,光明日报出版社,2016,K892.442.4,,
62153,“人本”语文解读,刘维臣著,978-7-5194-2497-8,CNY55.00,光明日报出版社,2017,G633.302,,
62152,王阳明,欧阳彦之著,978-7-5168-1032-3,CNY38.00,台海出版社,2016,B248.2,,
62151,马克思主义哲学前沿理论研究,朱康有著,978-7-5068-3096-6,CNY68.00,中国书籍出版社,2013,B0-0,,
62150,槐香入梦,周立民著,978-7-5068-3946-4,CNY58.00,中国书籍出版社,2014,I267.1,,
62149,一座城的人文秘境,刘海永著,978-7-5068-5550-1,CNY32.00,中国书籍出版社,2016,I267,,
62148,量形实战解码,吴振锋著,978-7-5068-5377-4,CNY45.00,中国书籍出版社,2016,F832.51,,
62147,蛹蝶,陈然著,978-7-5068-3955-6,CNY32.00,中国书籍出版社,2014,I247.57,,
62146,嘉言善行,鸿儒文轩编著,978-7-5068-5445-0,CNY32.00,中国书籍出版社,2016,B821-49,,
62145,寂寞最深处的沸腾,张星著,978-7-5060-8800-8,CNY39.00,东方出版社,2015,I267,,
62144,你所失去的， 都会以另一种方式归来,不凡著,978-7-5139-1233-4,CNY35.00,民主与建设出版社,2017,B821-49,,
62143,女人要懂得给自己定位,吴静雅著,978-7-5464-1146-0,CNY35.00,成都时代出版社,2014,B848.4-49,,
62142,有些事现在不做， 一辈子都没有机会做了,韩倩著,978-7-5168-0744-6,CNY38.00,台海出版社,2016,B821-49,,
62141,国学十二道,谢寒梅著,978-7-5168-0615-9,CNY38.00,台海出版社,2015,Z126-49,,
62140,别让不懂人情世故害了你,夏莫著,978-7-5139-0790-3,CNY35.00,民主与建设出版社,2017,C912.11,,
62139,云门抗日烽火,樊光相主编,978-7-5098-3935-5,CNY35.00,中共党史出版社,2017,K265.06,,
62138,特种兵王,李建林著,978-7-5190-0429-3,CNY38.00,中国文联出版社,2015,I247.52,,
62137,胜算,何常在著,978-7-5059-9468-3,CNY39.80,中国文联出版社,2015,I247.57,,
62136,不喧哗自有专声,这么远那么近， 宇华著,978-7-5502-6918-7,CNY45.00,北京联合出版公司,2016,I267.1,,
62135,正心修身 养性育德,欧阳彦之著,978-7-5168-0801-6,CNY35.00,台海出版社,2016,B821-49,,
62134,空白之页,罗伟章著,978-7-5063-8706-4,CNY29.00,作家出版社,2016,I247.57,,
62133,最美的教育最简单,尹建莉著,978-7-5063-7481-1,CNY38.00,作家出版社,2014,G78,,
62132,魅力王者,文轩编著,978-7-5068-4339-3,CNY38.00,中国书籍出版社,2014,K835.127=6,,
62131,可可西里狼,杜光辉著,978-7-5063-8823-8,CNY36.00,作家出版社,2016,I247.57,,
62130,天意眷顾 我们终有一天会各得其所,王峰著,978-7-5500-1171-7,CNY39.80,百花洲文艺出版社,2015,I247.7,,
62129,魅力进化论,高丽著,978-7-5090-1133-1,CNY39.00,当代世界出版社,2016,B834.3-62,,
62128,世纪病人,李晓桦著,978-7-5063-7388-3,CNY29.00,作家出版社,2014,I247.57,,
62127,古船,,978-7-5063-7590-0,CNY35.00,作家出版社,2014,I247.57,,
62126,漠国明月,郑彦英著,978-7-5063-7821-5,CNY35.00,作家出版社,2015,K825.6=342,,
62125,血色翡翠城,王宇民著,978-7-5063-8439-1,CNY36.00,作家出版社,2016,I247.57,,
62124,象棋快速入门全程图解,李春平等编著,978-7-122-22550-4,CNY29.80,化学工业出版社,2015,G891.2,,
62123,乘着语言的翅膀,雨兰著,978-7-5510-0127-4,CNY23.80,文心出版社,2013,I267,,
62122,饥不择食,薛冰著,978-7-5153-3369-4,CNY30.00,中国青年出版社,2015,TS971.2(2),,
62121,不觉欢喜 真是欢喜,顾随著,978-7-5008-6389-2,CNY38.00,中国工人出版社,2016,I207.227.2,,
62120,没有规矩， 不成方圆,郭昭辉著,978-7-5168-1154-2,CNY36.00,台海出版社,2016,F272,,
62119,挫指柔,陈九著,978-7-5063-8944-0,CNY33.00,作家出版社,2016,I247.57,,
62118,有风铃响动的午后,孟庆媛著,978-7-5510-0124-3,CNY23.80,文心出版社,2013,I267,,
62117,宋词小札,刘逸生著,978-7-5153-4299-3,CNY46.00,中国青年出版社,2016,I207.23,,
62116,节节向上,徐川著,978-7-5153-4148-4,CNY35.00,中国青年出版社,2016,K892.1,,
62115,徒步穿越半个城市,邰筐著,978-7-5153-4229-0,CNY35.00,中国青年出版社,2016,I227.1,,
62114,在印度， 听见一片寂静,黄志群著/摄影,978-7-5153-4063-0,CNY38.00,中国青年出版社,2016,I267.4,,
62113,穿越四百年来读你,叶秀敏编译,978-7-5153-4074-6,CNY46.00,中国青年出版社,2016,I561.072,,
62112,活过来， 你可以,李雪柏著,978-7-5153-4004-3,CNY38.00,中国青年出版社,2015,B848.4,,
62111,穿越洞庭 翻阅大书,李辉著,978-7-5153-4129-3,CNY36.00,中国青年出版社,2016,K820.864,,
62110,西行漫记,(美) 埃德加·斯诺著,978-7-5060-2073-2,CNY29.00,东方出版社,2010,K269.506,,
62109,尼罗河探源,(英) 约翰·汉尼·斯皮克著,978-7-5154-0751-7,CNY39.00,当代中国出版社,2017,I561.65,,
62108,首次南极探险,(挪威) 罗德·阿蒙森著,978-7-5154-0741-8,CNY39.00,当代中国出版社,2017,I533.64,,
62107,首次穿越北美大陆,(美) 诺亚·布鲁克斯著,978-7-5154-0735-7,CNY39.00,当代中国出版社,2016,I712.64,,
62106,行走的家园,王菁野作品,978-7-5154-0301-4,CNY38.00,当代中国出版社,2015,I267.4,,
62105,坐公交车的人,魏微著,978-7-5154-0524-7,CNY28.00,当代中国出版社,2015,I267,,
62104,欧·亨利最幽默的小说28篇,(美) 欧·亨利著,978-7-5154-0381-6,CNY28.80,当代中国出版社,2014,I712.44,,
62103,来自陌生人的美意,张莉著,978-7-5154-0649-7,CNY29.00,当代中国出版社,2016,I206.7,,
62102,沙漠里的细水微光,杨献平著,978-7-5154-0597-1,CNY30.00,当代中国出版社,2015,I267,,
62101,秘密呼喊自己的名字,张楚著,978-7-5154-0522-3,CNY28.00,当代中国出版社,2015,I267.1,,
62100,做一个有香气的女子,毕淑敏,978-7-5125-0763-0,CNY36.00,国际文化出版公司,2015,I267,,
62099,你所谓的稳定， 给不了你想过的生活,姜运仓编著,978-7-5496-1909-2,CNY32.80,文汇出版社,2017,B848.4-49,,
62098,和女人的世界好好谈谈,曾雅娴著,978-7-5168-1141-2,CNY32.80,台海出版社,2016,B848.4,,
62097,大玩家,杨海林著,978-7-5068-3966-2,CNY36.00,中国书籍出版社,2015,I247.82,,
62096,连云小镇,张文宝著,978-7-5511-2538-3,CNY26.00,花山文艺出版社,2016,I267,,
62095,新职业病防治法职工普及读本,中华全国总工会劳动保护部组织编写,978-7-5008-5224-7,CNY18.00,中国工人出版社,2012,D922.544,,
62094,李铁英传,李海涛， 李娟娟， 季翠霞著,978-7-203-09768-6,CNY52.00,山西人民出版社,2016,K825.78=75,,
62093,不安,(澳大利亚) 朱莉亚·李著,978-7-02-009651-0,CNY20.00,人民文学出版社,2013,I611.45,,
62092,雪融之后,(英) A.D. 米勒著,978-7-02-009722-7,CNY25.00,人民文学出版社,2013,I561.45,,
62091,海底两万里,(法) 儒勒·凡尔纳著,978-7-5339-3636-5,CNY16.00,浙江文艺出版社,2013,H319.4:I565.44,,
62090,著影日常,张光华著,978-7-5153-3214-7,CNY80.00,中国青年出版社,2015,K825.7=76,,
62089,当代中华诗词名家精品集,中华诗词研究院编,978-7-5153-2586-6,CNY20.00,中国青年出版社,2015,I227,,
62088,极地天使,黄国荣著,978-7-5063-8065-2,CNY39.00,作家出版社,2015,I247.57,,
62087,玉见之美,李玉刚著,978-7-5063-9100-9,CNY58.00,作家出版社,2016,I267,,
62086,病人永远是我的老师,李家杰著,978-7-5063-8854-2,CNY36.00,作家出版社,2016,K826.2=76,,
62085,《水浒传》《西游记》《金瓶梅》的文学经典性,李建武著,978-7-5161-8586-5,CNY68.00,中国社会科学出版社,2016,I207.41,,
62084,孟子,苏志诚注译,978-7-5139-1985-2,CNY39.80,民主与建设出版社,2018,B222.5,,
62083,蒋介石在台湾,陈冠任著,978-7-5060-6827-7,CNY49.80,东方出版社,2013,K827=73,,
62082,蒋介石在台湾,陈冠任著,978-7-5060-6285-5,CNY49.80,东方出版社,2013,K827=73,,
62081,蒋介石在台湾,陈冠任著,978-7-5060-6147-6,CNY49.80,东方出版社,2013,K827=73,,
62080,海底两万里,(法) 凡尔纳著,978-7-5112-3615-9,CNY26.00,光明日报出版社,2013,I565.44,,
62079,女人都需要一场内心革命,(美) 塔拉·莫尔著,978-7-5385-9422-5,CNY39.80,北方妇女儿童出版社,2015,B848.4-49,,
62078,让你受益终身的人生箴言,韩非编著,978-7-5113-4667-4,CNY32.00,中国华侨出版社,2014,B821-49,,
62077,书成就梦想,蔡兴文著,978-7-5155-0722-4,CNY36.00,金城出版社,2015,G792,,
62076,落满蝉鸣的小院,宋元新著,978-7-5468-1271-7,CNY28.00,敦煌文艺出版社,2016,I267.1,,
62075,简单的幸福,求真选编,978-7-5139-0466-7,CNY25.00,民主与建设出版社,2015,I247.8,,
62074,演讲与口才知识全书,白虹， 达夫编著,978-7-5113-5686-4,CNY58.00,中国华侨出版社,2016,H019-49,,
62073,扫掉心灵的尘埃,求真选编,978-7-5139-0363-9,CNY25.00,民主与建设出版社,2015,I14,,
62072,毕淑敏自选集,毕淑敏著,978-7-5125-0862-0,CNY135.00 (3册),国际文化出版公司,2016,I267,,
62071,毕淑敏自选集,毕淑敏著,978-7-5125-0861-3,CNY135.00 (3册),国际文化出版公司,2016,I267,,
62070,苦才是人生， 做才是得到,张晓萍编著,978-7-5442-5817-3,CNY29.00,南海出版公司,2014,B821-49,,
62069,巴黎圣母院,(法) 雨果著,978-7-5317-2912-9,CNY24.00,北方文艺出版社,2013,I565.44,,
62068,不信青史尽成灰,滕叙兖著,978-7-5153-2456-2,CNY55.00,中国青年出版社,2014,I253.2,,
62067,乾隆皇帝,白新良著,978-7-5134-1003-8,CNY39.00,故宫出版社,2017,K827=49,,
62066,上海的狐步舞,穆时英等著,978-7-5391-8279-7,CNY38.00,二十一世纪出版社,2013,I246.7,,
62065,老梁说天下,梁宏达著,978-7-5008-5697-9,CNY35.00,中国工人出版社,2014,D609.9,,
62064,第一流的幽默家,陆陆编著,978-7-5008-6161-4,CNY45.00,中国工人出版社,2015,K825.6=73,,
62063,老梁说天下,梁宏达著,978-7-5008-5826-3,CNY38.00,中国工人出版社,2014,D609.9,,
62062,马瑞芳说聊斋,马瑞芳著,978-7-5008-5788-4,CNY39.00,中国工人出版社,2014,I207.419,,
62061,销售心理学,宋璐璐著,978-7-5139-1095-8,CNY30.00,民主与建设出版社,2016,F713.55,,
62060,我愿为你饮尽那份孤独,杨银娣著,978-7-5190-2045-3,CNY58.00,中国文联出版社,2016,J421,,
62059,超级记忆术,王阔编著,978-7-5472-3625-3,CNY32.80,吉林文史出版社,2017,B842.3,,
62058,走路圣经,(英) 乔安娜·霍尔著,978-7-5126-3450-3,CNY35.00,团结出版社,2015,R161.1,,
62057,德日意争霸世界,刘干才， 李奎编著,978-7-5126-3535-7,CNY29.00,中国电力出版社,2015,I247.53,,
62056,纳尼亚人,(美) 艾伦·雅各布斯著,978-7-5675-2312-8,CNY45.00,华东师范大学出版社,2014,K835.615.6=533,,
62055,罪证,韩华著,978-7-5171-1493-2,CNY58.00,中国言实出版社,2015,K265.06,,
62054,心量越大 好事越多,星云大师著,978-7-5535-0218-2,CNY39.80,上海文化出版社,2014,B948-49,,
62053,幸福比优秀更重要,李镇西著,978-7-5675-3592-3,CNY39.80,华东师范大学出版社,2015,G4-53,,
62052,不生气就不生病,郝万山著,978-7-5060-8260-0,CNY46.00,东方出版社,2015,R212,,
62051,对岸,凌鱼著,978-7-5034-8310-3,CNY38.00,中国文史出版社,2017,I247.7,,
62050,百年孤独,加西亚·马尔克斯著,978-7-5442-5399-4,CNY39.50,南海出版公司,2011,I775.45,,
62049,好故事,(韩) 法顶禅师著,978-7-5391-3890-9,CNY28.00,二十一世纪出版社,2007,B821-49,,
62048,教父,(美) 马里奥·普佐著,978-7-5594-1805-0,CNY79.90,江苏凤凰文艺出版社,2018,I712.45,,
62047,疯子,约翰·舒勒著,978-7-210-07722-0,CNY38.00,江西人民出版社,2015,I712.45,,
62046,每个人身上都有太阳,李雪著,978-7-5639-4482-8,CNY28.00,北京工业大学出版社,2015,B502.231,,
62045,告别演讲恐惧,张萌， 胡欣， 王子璇著,978-7-111-51541-8,CNY35.00,机械工业出版社,2015,H019-49,,
62044,尊严,(美) 唐娜·希克斯著,978-7-300-22895-2,CNY39.00,中国人民大学出版社,2016,B82,,
62043,中华人民共和国最高人民法院最高人民检察院司法解释与指导案例,,978-7-5093-7053-7,CNY138.00,中国法制出版社,2016,D920.5,,
62042,真实的日本,大前研一著,978-7-5436-6781-5,CNY28.00,青岛出版社,2014,D731.3,,
62041,挂科不挂爱,苏亦谜著,978-7-5500-1586-9,CNY28.00,百花洲文艺出版社,2015,I247.57,,
62040,星际战争,(英) 赫·乔·威尔斯著,978-7-5339-3637-2,CNY16.00,浙江文艺出版社,2013,H319.4:I561.44,,
62039,九栋,邹静之著,978-7-5118-1109-7,CNY25.00,法律出版社,2010,I247.5,,
62038,正义之源泉,吴经熊著,978-7-5118-8273-8,CNY58.00,法律出版社,2015,D903,,
62037,斑马线上的中国,邓子滨著,978-7-5118-9752-7,CNY45.00,法律出版社,2016,D920.0,,
62036,越过时间拥抱你,祖占著,978-7-5399-8674-6,CNY52.00 (2册),江苏凤凰文艺出版社,2015,I247.57,,
62035,金陵十三钗,严歌苓著,978-7-5063-9052-1,CNY26.00,作家出版社,2016,I247.57,,
62034,用爱等一生,袁雅琴， 欧阳鹭英著,978-7-5063-8679-1,CNY30.00,作家出版社,2016,I25,,
62033,泰戈尔爱情诗,泰戈尔著,978-7-5063-8903-7,CNY25.00,作家出版社,2016,I351.25,,
62032,吉祥时光,张之路著,978-7-5063-9301-0,CNY28.00,作家出版社,2016,I287.45,,
62031,时间的孩子们,阿拉提·阿斯木著,978-7-5063-7713-3,CNY33.00,作家出版社,2015,I247.5,,
62030,第九个寡妇,严歌苓著,978-7-5063-9049-1,CNY29.00,作家出版社,2016,I247.57,,
62029,小姨多鹤,严歌苓著,978-7-5063-9050-7,CNY29.00,作家出版社,2016,I247.57,,
62028,以你为名的光芒,夏茗悠著,978-7-5104-2519-6,CNY26.00,新世界出版社,2013,I247.57,,
62027,九谒先哲书,夏中义著,978-7-5391-8515-6,CNY28.00,二十一世纪出版社,2013,B261,,
